task_id,raw_outcome,effective_outcome,rollout_id,reward,agent_iterations,provider_requests
azure-bgp-oscillation-route-leak,FAIL,FAIL,azure-bgp-oscillation-route-leak-skilltta-gpt52-r002,0.0,5,4
bike-rebalance,FAIL,FAIL,bike-rebalance-skilltta-gpt52-r001,0.0,12,12
data-to-d3,FAIL,FAIL,data-to-d3-skilltta-gpt52-r001,0.0,17,17
dialogue-parser,PASS,PASS,dialogue-parser-skilltta-gpt52-r001,1.0,19,19
drone-planning-control,PASS,PASS,drone-planning-control-skilltta-gpt52-r002,1.0,17,17
dynamic-object-aware-egomotion,FAIL,FAIL,dynamic-object-aware-egomotion-skilltta-gpt52-r001,0.0,13,13
energy-market-pricing,FAIL,FAIL,energy-market-pricing-skilltta-gpt52-r001,0.0,19,19
energy-unit-commitment,FAIL,FAIL,energy-unit-commitment-skilltta-gpt52-r001,0.0,4,4
enterprise-information-search,FAIL,FAIL,enterprise-information-search-skilltta-gpt52-r001,0.0,23,23
exceltable-in-ppt,FAIL,FAIL,exceltable-in-ppt-skilltta-gpt52-r001,0.0,13,13
exoplanet-detection-period,FAIL,FAIL,exoplanet-detection-period-skilltta-gpt52-r001,0.0,17,17
fix-build-agentops,FAIL,FAIL,fix-build-agentops-skilltta-gpt52-r001,0.0,47,47
fix-build-google-auto,FAIL,FAIL,fix-build-google-auto-skilltta-gpt52-r001,0.0,60,60
flink-query,FAIL,FAIL,flink-query-skilltta-gpt52-r001,0.0,25,25
jpg-ocr-stat,FAIL,FAIL,jpg-ocr-stat-skilltta-gpt52-r001,0.0,7,7
lab-unit-harmonization,FAIL,FAIL,lab-unit-harmonization-skilltta-gpt52-r001,0.521,23,23
manufacturing-equipment-maintenance,FAIL,FAIL,manufacturing-equipment-maintenance-skilltta-gpt52-r001,0.0,18,18
multilingual-video-dubbing,FAIL,FAIL,multilingual-video-dubbing-skilltta-gpt52-r001,0.0,15,15
organize-messy-files,FAIL,FAIL,organize-messy-files-skilltta-gpt52-r001,0.0,20,20
paper-anonymizer,FAIL,FAIL,paper-anonymizer-skilltta-gpt52-r001,0.0,42,42
pddl-airport-planning,FAIL,FAIL,pddl-airport-planning-skilltta-gpt52-r001,0.0,16,16
python-scala-translation,FAIL,FAIL,python-scala-translation-skilltta-gpt52-r001,0.0,6,6
reserves-at-risk-calc,FAIL,FAIL,reserves-at-risk-calc-skilltta-gpt52-r001,0.0,4,4
sec-financial-report,FAIL,FAIL,sec-financial-report-skilltta-gpt52-r001,0.0,15,15
seismic-phase-picking,FAIL,FAIL,seismic-phase-picking-skilltta-gpt52-r001,0.0,31,31
shock-analysis-supply,FAIL,FAIL,shock-analysis-supply-skilltta-gpt52-r001,0.0,60,60
simpo-code-reproduction,FAIL,FAIL,simpo-code-reproduction-skilltta-gpt52-r001,0.0,36,36
software-dependency-audit,PASS,PASS,software-dependency-audit-skilltta-gpt52-r001,1.0,10,10
syzkaller-ppdev-syzlang,PASS,PASS,syzkaller-ppdev-syzlang-skilltta-gpt52-r001,1.0,37,37
video-silence-remover,FAIL,FAIL,video-silence-remover-skilltta-gpt52-r001,0.0,29,30
