task_id,audit_category,original_skill_status,guard_used,ground_truth_included,gold_defect_count,rollout_id,results_ref
software-dependency-audit,ground_truth,FAIL,true,true,1,software-dependency-audit-completion-guard-exp-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/software-dependency-audit
suricata-custom-exfil,original_skill_pass,PASS,false,false,0,suricata-custom-exfil-original-skill-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/suricata-custom-exfil
fix-erlang-ssh-cve,original_skill_pass,PASS,false,false,0,fix-erlang-ssh-cve-original-skill-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/fix-erlang-ssh-cve
xlsx-recover-data,excluded_benchmark_issue,FAIL,false,false,0,xlsx-recover-data-original-skill-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/xlsx-recover-data
invoice-fraud-detection,excluded_benchmark_issue,FAIL,false,false,0,invoice-fraud-detection-original-skill-r004,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/invoice-fraud-detection
sec-financial-report,ground_truth,FAIL,false,true,3,sec-financial-report-original-skill-server-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/sec-financial-report
weighted-gdp-calc,original_skill_pass,PASS,false,false,0,weighted-gdp-calc__97f2e724,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/weighted-gdp-calc
manufacturing-codebook-normalization,excluded_benchmark_issue,FAIL,false,false,0,manufacturing-codebook-normalization__20d53cd3,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/manufacturing-codebook-normalization
3d-scan-calc,original_skill_pass,PASS,false,false,0,3d-scan-calc__040ec403,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/3d-scan-calc
r2r-mpc-control,original_skill_pass,PASS,false,false,0,r2r-mpc-control-original-skill-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/r2r-mpc-control
lean4-proof,original_skill_pass,PASS,false,false,0,lean4-proof-original-skill-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/lean4-proof
pddl-tpp-planning,original_skill_pass,PASS,true,false,0,pddl-tpp-planning-completion-guard-exp-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/pddl-tpp-planning
paratransit-routing,original_skill_pass,PASS,true,false,0,paratransit-routing-original-skill-guard-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/paratransit-routing
threejs-to-obj,original_skill_pass,PASS,false,false,0,threejs-to-obj-original-skill-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/threejs-to-obj
mario-coin-counting,original_skill_pass,PASS,false,false,0,mario-coin-counting-original-skill-r004,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/mario-coin-counting
video-silence-remover,ground_truth,FAIL,false,true,3,video-silence-remover-original-skill-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/video-silence-remover
exoplanet-detection-period,ground_truth,FAIL,false,true,1,exoplanet-detection-period-original-skill-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/exoplanet-detection-period
crystallographic-wyckoff-position-analysis,original_skill_pass,PASS,false,false,0,crystallographic-wyckoff-position-analysis-original-skill-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/crystallographic-wyckoff-position-analysis
glm-lake-mendota,original_skill_pass,PASS,false,false,0,glm-lake-mendota-original-skill-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/glm-lake-mendota
