task_id,validation_class,selected_run
dialogue-parser,fresh-pass,dialogue-parser-round-1-r003
exoplanet-detection-period,verifier-only-pass,exoplanet-detection-period-round-1-r006
python-scala-translation,fresh-pass,python-scala-translation-round-2-r003
sec-financial-report,fresh-pass,sec-financial-report-round-1-r005
software-dependency-audit,fresh-pass,software-dependency-audit-repair-r003-guard-r001
video-silence-remover,fresh-pass,video-silence-remover-repair-r003
lab-unit-harmonization,fresh-pass,lab-unit-harmonization-round-1-r001
data-to-d3,fresh-pass,data-to-d3-round-1-r001
dynamic-object-aware-egomotion,fresh-pass,dynamic-object-aware-egomotion-round-2-r001
multilingual-video-dubbing,fresh-pass,multilingual-video-dubbing-round-1-r001
enterprise-information-search,verifier-only-pass,enterprise-information-search-round-1-r001
reserves-at-risk-calc,fresh-pass,reserves-at-risk-calc-round-3-r001
fix-druid-loophole-cve,fresh-pass,fix-druid-loophole-cve-round-1-server-r002
flink-query,fresh-pass,flink-query-round-3-guard-r001
azure-bgp-oscillation-route-leak,fresh-pass,azure-bgp-oscillation-route-leak-round-3-guard-r001
bike-rebalance,fresh-pass,bike-rebalance-round-1-r002
energy-market-pricing,fresh-pass,energy-market-pricing-round-2-r002
seismic-phase-picking,fresh-pass,seismic-phase-picking-round-1-r001-recovery001
exceltable-in-ppt,fresh-pass,exceltable-in-ppt-round-1-r001
paper-anonymizer,fresh-pass,paper-anonymizer-round-4-r001
fix-build-agentops,verifier-only-pass,fix-build-agentops-round-2-r003
energy-unit-commitment,fresh-pass,energy-unit-commitment-round-1-r003
simpo-code-reproduction,fresh-pass,simpo-code-reproduction-round-1-r005
manufacturing-equipment-maintenance,fresh-pass,manufacturing-equipment-maintenance-round-1-r002
pddl-airport-planning,fresh-pass,pddl-airport-planning-round-1-r001
organize-messy-files,fresh-pass,organize-messy-files-round-6-r001
syzkaller-ppdev-syzlang,fresh-pass,syzkaller-ppdev-syzlang-round-1-r001
drone-planning-control,fresh-pass,drone-planning-control-round-3-r001
fix-build-google-auto,fresh-pass,fix-build-google-auto-round-1-r001
shock-analysis-supply,fresh-pass,shock-analysis-supply-round-5-r001
jpg-ocr-stat,verifier-only-pass,jpg-ocr-stat-round-13-r001

