"task_id","expected_status","actual_status","status_match","guard_used","rollout_id","reward","execution_ok","source_type"
"software-dependency-audit","FAIL","FAIL","True","True","software-dependency-audit-completion-guard-exp-r001","0.0","True","windows"
"suricata-custom-exfil","PASS","PASS","True","False","suricata-custom-exfil-original-skill-r003","1.0","True","windows"
"fix-erlang-ssh-cve","PASS","PASS","True","False","fix-erlang-ssh-cve-original-skill-r001","1.0","True","windows"
"sec-financial-report","FAIL","FAIL","True","False","sec-financial-report-round-1-r002","0.0","True","windows"
"weighted-gdp-calc","PASS","PASS","True","False","weighted-gdp-calc__97f2e724","1.0",,"wsl"
"3d-scan-calc","PASS","PASS","True","False","3d-scan-calc__040ec403","1.0",,"wsl"
"r2r-mpc-control","PASS","PASS","True","False","r2r-mpc-control-original-skill-r001","1.0","True","windows"
"lean4-proof","PASS","PASS","True","False","lean4-proof-original-skill-r001","1.0","True","windows"
"pddl-tpp-planning","PASS","PASS","True","True","pddl-tpp-planning-completion-guard-exp-r001","1.0","True","windows"
"paratransit-routing","PASS","PASS","True","True","paratransit-routing-original-skill-guard-r002","1.0","True","windows"
"threejs-to-obj","PASS","PASS","True","False","threejs-to-obj-original-skill-r002","1.0","True","windows"
"mario-coin-counting","PASS","PASS","True","False","mario-coin-counting-original-skill-r004","1.0","True","windows"
"video-silence-remover","FAIL","FAIL","True","False","video-silence-remover-original-skill-r001","0.0","True","windows"
"exoplanet-detection-period","FAIL","FAIL","True","False","exoplanet-detection-period-original-skill-r001","0.0","True","windows"
"crystallographic-wyckoff-position-analysis","PASS","PASS","True","False","crystallographic-wyckoff-position-analysis-original-skill-r001","1.0","True","windows"
"glm-lake-mendota","PASS","PASS","True","False","glm-lake-mendota-original-skill-r001","1.0","True","windows"
"court-form-filling","PASS","PASS","True","False","court-form-filling-original-skill-r001","1.0","True","windows"
"pptx-reference-formatting","PASS","PASS","True","True","pptx-reference-formatting-completion-guard-exp-r001","1.0","True","windows"
"sales-pivot-analysis","PASS","PASS","True","False","sales-pivot-analysis-original-skill-r003","1.0","True","windows"
"dialogue-parser","FAIL","FAIL","True","False","dialogue-parser-gpt52-original-v4-r000","0.833","True","windows_external"
"python-scala-translation","FAIL","FAIL","True","False","python-scala-translation-original-skill-r003","0.0","True","windows"
"fix-visual-stability","PASS","PASS","True","False","fix-visual-stability-original-skill-r001","1.0","True","windows"
