task_id,pf,guard_used,condition,rollout_id,selection_reason,source_type,source_ref
software-dependency-audit,FAIL,true,original-skill,software-dependency-audit-completion-guard-exp-r001,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/software-dependency-audit/original_run
suricata-custom-exfil,PASS,false,original-skill,suricata-custom-exfil-original-skill-r003,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/suricata-custom-exfil/original_run
fix-erlang-ssh-cve,PASS,false,original-skill,fix-erlang-ssh-cve-original-skill-r001,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/fix-erlang-ssh-cve/original_run
xlsx-recover-data,FAIL,false,original-skill,xlsx-recover-data-original-skill-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/manual_annotation_runs/xlsx-recover-data/runs/manual-annotation/xlsx-recover-data-original-skill-r002
invoice-fraud-detection,FAIL,false,original-skill,invoice-fraud-detection-original-skill-r004,latest-valid-original-skill,windows,SkillGen-benchmarking/manual_annotation_runs/invoice-fraud-detection/runs/manual-annotation/invoice-fraud-detection-original-skill-r004
sec-financial-report,FAIL,false,original-skill,sec-financial-report-original-skill-server-r003,primary-original-skill-server-run,pku_ssh,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/sec-financial-report/original_run
weighted-gdp-calc,PASS,false,original-skill,weighted-gdp-calc__97f2e724,reuse-reviewed-core22-selection,wsl,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/weighted-gdp-calc/original_run
manufacturing-codebook-normalization,FAIL,false,original-skill,manufacturing-codebook-normalization__20d53cd3,legacy-valid-original-skill,wsl,/home/linyuanjing/skillgen-jobs/manual-annotation-core3/gpt52-openrouter/manufacturing-codebook-normalization/original-skill-forced-multiturn/batch-20260823-103940/rollout-1/jobs/2026-08-23__10-39-42/manufacturing-codebook-normalization__20d53cd3
3d-scan-calc,PASS,false,original-skill,3d-scan-calc__040ec403,reuse-reviewed-core22-selection,wsl,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/3d-scan-calc/original_run
r2r-mpc-control,PASS,false,original-skill,r2r-mpc-control-original-skill-r001,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/r2r-mpc-control/original_run
